principal component 1,principal component 2
0.13169287410942004,0.28247296116212867
0.15496781465846765,0.3046079811006309
0.03251507199389658,0.33152962037284855
0.1422997541809069,0.3413749436592595
0.516013479581154,0.5624349692981061
0.14059243035959212,0.2871759524801985
0.12002747221179312,0.26948688341154253
0.11546034500409413,0.3700463514746253
0.09012027939903039,0.3298374954973586
0.10083235259796772,0.4287011209176602
0.100500712936569,0.2934089077641635
0.10193573954427779,0.25196736979480616
0.30030500541441624,0.4604936423188245
0.23420226144593087,0.4044748973274023
0.10169171229818982,0.3671558255549902
0.16700179402680287,0.3797266942960362
0.12057641861733245,0.2911166831009667
0.09426404387263285,0.3660013803477927
0.1624137456681235,0.40188509883645085
0.08702117528980163,0.33225659414981995
0.10714842847046732,0.28781046456172654
0.06602933457209796,0.27855621812904485
0.3183423868592896,0.45857679546523733
0.2537080790486137,0.26718866994590995
0.0724925133846371,0.2620491139116067
0.6769270550314364,0.6889947852808039
0.1060886240456967,0.34678600950348537
0.10576416828679525,0.27598950804954603
0.24162590664616507,0.4152767640539397
0.22425976150187263,0.39165925741950713
0.13177846929407183,0.32289966749115095
0.1198117424747101,0.23151617089874202
0.8743556334217821,0.9042042468667163
0.11384696286509506,0.22260668878618609
0.10918552983637872,0.2469387233836376
0.1012321172794747,0.3674740688164452
0.38248612128447323,0.18910452707448774
0.06652760348844097,0.26657180075965503
0.05964780181812937,0.2771670700981404
0.11169469517493458,0.42080922023427075
0.297662673467649,0.351849123372149
0.14897687489988465,0.3378878177650583
0.0838683952192739,0.3627016014207581
0.10778059386575416,0.28217277223661275
0.16557829298955268,0.3856340431775115
0.1936717540733352,0.3510890514508486
0.14990258260540146,0.3389669851024439
0.1691904165097668,0.32442261915836346
0.12655809384342803,0.33957464962311273
0.09584658215551527,0.2536329896256297
0.174442375881398,0.2847327554050314
0.11859551991949085,0.3565197280966553
0.281352665233831,0.3338663946619334
0.13173695143486758,0.23728640292720715
0.20979782485536827,0.31767598908665545
0.11421779295611048,0.35451876475992344
0.12545382730857566,0.26883573672300076
0.04610440369388352,0.21957313754764818
0.16761115700980828,0.44104706131589505
0.07700745369732225,0.3828958761924799
0.297765982536358,0.4332128805207477
0.2826131378421001,0.45802960407712073
0.1812778080782748,0.3286712359234443
0.28626099454552645,0.39776456969977503
0.23592996929964655,0.282069218104472
0.12893501018345438,0.4733055454249999
0.09602593046328947,0.32305637878953536
0.11446146526837772,0.3070740979753043
0.0593695047279319,0.35494922056514394
0.06885714326293914,0.3037421069113632
0.1797905902139708,0.37482197842998455
0.04499821457444286,0.27516646730638705
0.1495052611565061,0.3535482194942246
0.20586814981728374,0.4124105340723405
0.5104471793062102,0.10791433454746618
0.08371543142272897,0.3259338703235314
0.3625024281938354,0.516638102156858
0.11610896917325757,0.3580995574237978
0.10633649476217943,0.3642280999043436
0.1021458902615406,0.2712460357672821
0.2569761636378232,0.3770566526131675
0.16137855217769034,0.32936883301427866
0.17119472963474233,0.3231489743399228
0.15714379046218124,0.3416674618988291
0.17304528417601903,0.3219685508171415
